Title,Company,Location,Salary
Senior Software Engineer,E Logic,"Annapolis, MD",Salary not listed
Frontend Software Engineer - AI Trainer,DataAnnotation,"Dallas, TX",From $40 an hour
"Full-Stack Engineer, GenAI Technology",Point72,"Stamford, NY","$175,000 - $250,000 a year"
SAP Software Developer,Y12,"Oak Ridge, TN",Salary not listed
PeopleSoft Software Developer IV,"One Zero Solutions, LLC","North Charleston, SC",Salary not listed
Jr. .Net Developer - Onsite,Qbtech,"Redmond, WA",From $40 an hour
Embedded Security Software Engineer II - Gskit,Raytheon,"Tucson, AZ","$66,000 - $130,000 a year"
"Software Engineer, Senior",Toyota,"Plano, TX",Salary not listed
Full Stack Developer,Deloitte,"Falls Church, VA",Salary not listed
Software Engineer,Next code placement,"California City, CA","$84,069.98 - $101,245.57 a year"
Backend Engineer (Remote),Alma,California,"$4,000 - $9,000 a month"
Software Developer,"Scheels All Sports, Inc.","Fargo, ND",Salary not listed
Mobile Software Engineer - AI Trainer,DataAnnotation,Remote,From $40 an hour
Software Engineer,Volvo Group,"Greensboro, NC",Salary not listed
Assistant Software Engineer/Software Engineer/Software Engineer II,AIPSO,"Johnston, RI","$73,100 - $116,700 a year"
PW Software Engineer II,PENCILWRENCH LLC,United States,Salary not listed
Software Development Team Lead - Java,Uline,"Pleasant Prairie, WI","$121,000 - $160,000 a year"
App Engineer - AI Trainer,DataAnnotation,Remote,From $40 an hour
Full Stack Engineer - Python/Ruby,Ryzen Solutions,"Austin, TX",$64.52 - $75.00 an hour
Software Engineer,Illuminate,"Overland Park, KS","$87,000 - $94,954 a year"
Software Engineer - C++/C#,Quest Global,"Madison, WI",Salary not listed
Software Development Team Lead - Java,Uline,"Pleasant Prairie, WI","$121,000 - $160,000 a year"
Lead Software Engineer,Leidos,"Omaha, NE","$104,650 - $189,175 a year"
RPG Programmer,"Vormittag Associates, Inc.","Ronkonkoma, NY",$32 - $62 an hour
Backend Software Engineer - Spacetime,"Aalyria Technologies, Inc","Livermore, CA","$150,000 - $175,000 a year"
Backend Product Engineer,Wispr Flow,"San Francisco, CA","$125,000 - $200,000 a year"
Sr Software Engineer,PlayStation Global,"Madison, WI","$156,400 - $234,600 a year"
Software Engineer,BlackLine,"Pleasanton, CA","$134,000 - $167,000 a year"
Software Engineer,Point72,"New York, NY","$125,000 - $175,000 a year"
Machine Learning Engineer,Johnson & Johnson,"New Brunswick, NJ","$106,250 - $143,750 a year"
Cloud Software Engineer - AI Trainer,DataAnnotation,Remote,From $40 an hour
Software Engineer Analyst - AI Trainer,DataAnnotation,"Sacramento, CA",From $40 an hour
Software Engineer,Allstate,Illinois,"$66,800 - $120,650 a year"
Software Engineer,XIFIN,"San Diego, CA",$33.65 - $45.67 an hour
Senior .NET & Angular Developer - SNAD25-20683,NavitsPartners,"York, PA",$55 - $65 an hour
Cloud Engineer - AI Trainer,DataAnnotation,"Buffalo, NY",From $40 an hour
Software Engineer III,ROM-27,"Cortland, NY",$35 - $40 an hour
Software Engineer I,Expeed Software,"Worthington, OH",Salary not listed
AEM Software Engineer,"Stefanini, Inc","Dearborn, MI",$75 - $83 an hour
